topicID	numTokensOfTopic	topicInAuthor	authorInTopic	author
39	143250	0.062649	0.039939	Brunner, John
70	128611	0.056247	0.038901	Brunner, John
47	110306	0.048241	0.041981	Brunner, John
53	85290	0.037301	0.022774	Brunner, John
23	84783	0.037079	0.028857	Brunner, John
25	81123	0.035478	0.031006	Brunner, John
65	75383	0.032968	0.027578	Brunner, John
48	73400	0.032101	0.028368	Brunner, John
0	62355	0.027270	0.035871	Brunner, John
54	58415	0.025547	0.076606	Brunner, John
15	57161	0.024999	0.049850	Brunner, John
73	54630	0.023892	0.025093	Brunner, John
3	50105	0.021913	0.048772	Brunner, John
10	49776	0.021769	0.023377	Brunner, John
36	48962	0.021413	0.028376	Brunner, John
50	47961	0.020975	0.028887	Brunner, John
61	45824	0.020041	0.045260	Brunner, John
40	44727	0.019561	0.028708	Brunner, John
41	43177	0.018883	0.015813	Brunner, John
6	40616	0.017763	0.026672	Brunner, John
26	35496	0.015524	0.034864	Brunner, John
34	32974	0.014421	0.065072	Brunner, John
1	31827	0.013919	0.021914	Brunner, John
27	29738	0.013006	0.034583	Brunner, John
17	28917	0.012647	0.012112	Brunner, John
57	24727	0.010814	0.024831	Brunner, John
68	24230	0.010597	0.016473	Brunner, John
7	23167	0.010132	0.013392	Brunner, John
13	22682	0.009920	0.034421	Brunner, John
35	20968	0.009170	0.018848	Brunner, John
2	18799	0.008222	0.022571	Brunner, John
29	18690	0.008174	0.012306	Brunner, John
21	18533	0.008105	0.015636	Brunner, John
45	18430	0.008060	0.018743	Brunner, John
18	18318	0.008011	0.010315	Brunner, John
49	17356	0.007590	0.053472	Brunner, John
69	15493	0.006776	0.019764	Brunner, John
9	14704	0.006431	0.012388	Brunner, John
24	14675	0.006418	0.035883	Brunner, John
14	12494	0.005464	0.028689	Brunner, John
19	12353	0.005402	0.012984	Brunner, John
44	11454	0.005009	0.007228	Brunner, John
67	8785	0.003842	0.057826	Brunner, John
46	8659	0.003787	0.013072	Brunner, John
42	7901	0.003455	0.021334	Brunner, John
63	7777	0.003401	0.026058	Brunner, John
51	7086	0.003099	0.007544	Brunner, John
5	6983	0.003054	0.014902	Brunner, John
33	5315	0.002324	0.037367	Brunner, John
38	4126	0.001804	0.007141	Brunner, John
4	3952	0.001728	0.004888	Brunner, John
72	3796	0.001660	0.011698	Brunner, John
55	3740	0.001636	0.007732	Brunner, John
52	3300	0.001443	0.008151	Brunner, John
37	3180	0.001391	0.011484	Brunner, John
30	2462	0.001077	0.003652	Brunner, John
62	2416	0.001057	0.005926	Brunner, John
64	2317	0.001013	0.016297	Brunner, John
32	2276	0.000995	0.004813	Brunner, John
22	2118	0.000926	0.006666	Brunner, John
11	2077	0.000908	0.007598	Brunner, John
58	2029	0.000887	0.003173	Brunner, John
8	2015	0.000881	0.003735	Brunner, John
16	1851	0.000810	0.002491	Brunner, John
12	1835	0.000803	0.003282	Brunner, John
59	1554	0.000680	0.004563	Brunner, John
60	1437	0.000628	0.002714	Brunner, John
66	1062	0.000464	0.005467	Brunner, John
20	1029	0.000450	0.004662	Brunner, John
43	1026	0.000449	0.006910	Brunner, John
56	1001	0.000438	0.004515	Brunner, John
71	770	0.000337	0.003370	Brunner, John
74	632	0.000276	0.001914	Brunner, John
23	15620	0.126345	0.005317	Abbott, Edwin Abbott
35	15265	0.123473	0.013722	Abbott, Edwin Abbott
0	12574	0.101707	0.007233	Abbott, Edwin Abbott
72	11691	0.094564	0.036029	Abbott, Edwin Abbott
25	7988	0.064612	0.003053	Abbott, Edwin Abbott
39	7564	0.061183	0.002109	Abbott, Edwin Abbott
47	6428	0.051994	0.002446	Abbott, Edwin Abbott
15	4604	0.037240	0.004015	Abbott, Edwin Abbott
17	3427	0.027720	0.001435	Abbott, Edwin Abbott
2	3035	0.024549	0.003644	Abbott, Edwin Abbott
26	3028	0.024492	0.002974	Abbott, Edwin Abbott
70	2470	0.019979	0.000747	Abbott, Edwin Abbott
6	2427	0.019631	0.001594	Abbott, Edwin Abbott
48	2325	0.018806	0.000899	Abbott, Edwin Abbott
18	2140	0.017310	0.001205	Abbott, Edwin Abbott
1	1760	0.014236	0.001212	Abbott, Edwin Abbott
36	1743	0.014099	0.001010	Abbott, Edwin Abbott
9	1740	0.014074	0.001466	Abbott, Edwin Abbott
28	1612	0.013039	0.000320	Abbott, Edwin Abbott
10	1520	0.012295	0.000714	Abbott, Edwin Abbott
41	1416	0.011454	0.000519	Abbott, Edwin Abbott
53	1209	0.009779	0.000323	Abbott, Edwin Abbott
65	1163	0.009407	0.000425	Abbott, Edwin Abbott
29	924	0.007474	0.000608	Abbott, Edwin Abbott
73	659	0.005330	0.000303	Abbott, Edwin Abbott
7	638	0.005161	0.000369	Abbott, Edwin Abbott
21	620	0.005015	0.000523	Abbott, Edwin Abbott
13	603	0.004877	0.000915	Abbott, Edwin Abbott
61	575	0.004651	0.000568	Abbott, Edwin Abbott
